artist_name,artist_avg_popularity,artist_song_count,artist_max_popularity,artist_std_popularity,artist_has_viral_hit
Artist E,34.36363636363637,198,98,27.062985209241518,1
Artist F,33.38990825688074,218,98,28.46842035651488,1
Artist A,40.35746606334842,221,99,28.222231741289878,1
Artist J,35.559471365638764,227,98,27.523597850887196,1
Artist G,38.52105263157895,190,97,29.125473476585935,1
Artist B,36.7688679245283,212,99,28.893141458776693,1
Artist C,36.13930348258707,201,98,28.06582436901574,1
Artist H,37.96116504854369,206,99,28.676810493837273,1
Artist I,40.06467661691542,201,98,30.265009433666137,1
Artist D,35.85840707964602,226,98,28.009956089183625,1
